,Precision,Recall,F1-score,BLEU Score
date_value,0.852664576802508,0.8842650644374782,0.8665687206522054,0.8487268147902027
store_name_value,0.976369168356998,0.8234517048834888,0.8687163296996452,0.7704448008230377
tax_value,0.0,0.0,0.0,0.0
total_value,0.9367816091954022,0.8256530825496344,0.8626019349143083,0.7794073465574438
prod_item_value,0.0,0.0,0.0,0.0
prod_quantity_value,0.0,0.0,0.0,0.0
prod_price_value,0.0,0.0,0.0,0.0
